VariableName,Impact_Value
l,-0.004996610962495071
zipcode,-0.0017431016298237955
grade,-0.0011243307710097556
yr_buil,-0.0007933058494246099
grade_8,-0.0006956994277684981
ge_after_renovation,-0.000631090097472628
sqft_living15,-0.0005912173659307768
sqft_lo,-0.0005198518219809395
log1p_sqft_basemen,-0.00046066873791490096
waterfron,-0.0004602148939795353
yr_sales,-0.000389103875424887
log1p_sqft_living15,-0.0003300127735525497
ondition_3,-0.0003019504566388813
ondition_5,-0.0002857171517824477
sqft_basemen,-0.00024463020581527093
floors_sq,-0.0002222398343953523
waterfront_sq,-0.00021983807998497888
ge_after_renovation,-0.0002080370192125511
waterfront_1,-0.00012427330914902438
view_sq,-0.00010560316030965528
ge_sq,-9.632551370349338e-05
grade_9,-8.366019264168752e-05
view_4,-8.187889738383005e-05
waterfront_0,-7.188747117889771e-05
ondition_4,-5.5365127520643224e-05
long,-5.017731783447951e-05
ondition_2,-3.502667960381441e-05
view_3,-2.9822632853561114e-05
grade_13,-2.9129620069017154e-05
bathrooms,-2.1443614962776978e-05
grade_12,-1.3387446897048383e-05
view,-1.2295590601995129e-05
ondition_1,-1.5441161058949748e-06
view_1,-1.275462146930803e-06
basement_bool,0.0
grade_4,9.338748631118893e-06
renovation_bool,1.4875199824446746e-05
view_2,2.466778281822339e-05
grade_11,3.62060849703254e-05
grade_10,3.803818674209113e-05
bathrooms_sq,5.526317118033904e-05
grade_5,5.564856135701537e-05
yr_renovated,6.247559583854018e-05
bedrooms_sq,7.868504171679438e-05
bedrooms,0.00010474725060033048
ge,0.00011669314839901899
view_0,0.0001170395989941256
grade_6,0.00014566148911668197
ge,0.0001485623356483294
log1p_sqft_lo,0.00019389741698494037
yr_renovated2,0.00026661759410534177
floors,0.00028404368907721124
ge_after_renovation_sq,0.0003529272693375751
ondition,0.0004115867667790864
sqft_lot15,0.0006210458251533366
sqft_above,0.0007879555783019377
log1p_sqft_above,0.0012815472738362975
log1p_sqft_lot15,0.001654384118595432
log1p_sqft_living,0.0022358540774747595
sqft_living,0.002375400860934206
grade_7,0.0030453291191468645
