VariableName,Impact_Value
basement_bool,0.0
grade_12,3.599779986342173e-05
grade_13,5.426734161489953e-05
grade_4,5.933634141534589e-05
grade_11,6.211976908916729e-05
renovation_bool,6.613575652366769e-05
ondition_1,8.567165067973068e-05
view_3,0.00019082148373632352
grade_5,0.00020427827122288718
view_1,0.0002607877389884072
ondition_4,0.00034959069742224126
ondition_2,0.0004964956682777308
waterfront_0,0.0005066945337475257
grade_10,0.0006697721834983016
grade_6,0.0006776630663513042
grade_9,0.000737480537632157
waterfront_1,0.0007379236518971719
view_2,0.0008101222120862826
view_4,0.0013897416700109763
waterfront_sq,0.00161082806690787
bedrooms,0.0017837696081899066
bedrooms_sq,0.002169931112823131
ge,0.002322274401041215
floors_sq,0.0024405748770775573
yr_renovated,0.002527825513704037
waterfron,0.0026750742549339367
ondition_3,0.002718320303457957
sqft_lot15,0.003089380643484152
floors,0.003150286008070203
ge_after_renovation,0.0035712816117975405
grade_7,0.0036605696559780946
ge_sq,0.0038528296076553404
ge,0.0040395043298896375
view,0.004054672302775912
grade_8,0.004110254887311357
yr_buil,0.004647440455500156
ondition_5,0.005020685513536148
log1p_sqft_above,0.005543895816122778
view_0,0.005971520575709184
bathrooms_sq,0.0062164052340012675
log1p_sqft_basemen,0.0062245219021494266
ge_after_renovation_sq,0.006664230224768505
ge_after_renovation,0.006757083597586752
sqft_basemen,0.007296734856005313
log1p_sqft_lot15,0.007678756577360055
bathrooms,0.007760528190767023
yr_renovated2,0.01079404791610042
view_sq,0.014523003856868997
log1p_sqft_living15,0.014597074063118167
sqft_above,0.015804972857218384
zipcode,0.015961468690435573
sqft_lo,0.016055103274035032
log1p_sqft_lo,0.022098437200056845
yr_sales,0.02318111553707108
ondition,0.02345109308506696
sqft_living15,0.02457524570484109
long,0.04230941791578108
log1p_sqft_living,0.05114139206072429
sqft_living,0.08061560928967651
grade,0.08287318244795841
l,0.24631659267906075
