iter	RMSE
0	357746.3847
1	348551.9063
2	339333.4495
3	330353.6131
4	321973.3162
5	313582.5726
6	305454.8603
7	297462.3081
8	289579.7999
9	282422.4596
10	275157.0399
11	267873.4303
12	261063.1851
13	254579.8275
14	248410.3338
15	242360.4348
16	236263.2781
17	230355.3325
18	224531.74
19	219033.4224
20	213621.4237
21	208631.769
22	203389.9384
23	198646.6548
24	193895.2649
25	189351.3105
26	184665.8189
27	180226.8647
28	175944.3443
29	171867.1456
30	167691.0513
31	164093.598
32	160161.4083
33	156375.6165
34	152753.3817
35	149191.5164
36	145752.8781
37	142371.5046
38	139136.0387
39	135913.3034
40	132722.3438
41	129831.3402
42	126806.9365
43	123978.9294
44	121163.2082
45	118373.6556
46	115911.2974
47	113419.3183
48	111075.4658
49	108640.8716
50	106267.4783
51	104005.3155
52	101809.6697
53	99731.52507
54	97638.46126
55	95623.31237
56	93634.01061
57	91755.48288
58	89896.22717
59	88163.15361
60	86449.03215
61	84660.14312
62	82962.0911
63	81461.32481
64	79858.05486
65	78426.83659
66	76972.42606
67	75470.48979
68	74044.59044
69	72688.83426
70	71342.12874
71	70070.60749
72	68822.40921
73	67620.38329
74	66419.231
75	65221.36064
76	64158.6537
77	63037.5425
78	61945.07023
79	60907.07609
80	59919.51939
81	58916.90095
82	58083.65874
83	57286.48192
84	56354.50052
85	55553.23409
86	54675.81465
87	53914.14269
88	53101.29148
89	52366.66182
90	51598.74024
91	50851.0297
92	50089.81105
93	49387.81405
94	48682.7197
95	48018.92148
96	47400.80463
97	46739.15794
98	46148.6271
99	45536.01492
100	45026.74255
101	44476.06558
102	43948.79244
103	43387.17978
104	42860.08476
105	42409.09895
106	41940.43992
107	41446.69543
108	40981.59542
109	40550.35229
110	40086.32487
111	39663.8894
112	39234.02566
113	38860.44025
114	38423.44229
115	38024.8713
116	37632.73951
117	37285.92226
118	37028.17259
119	36645.2529
120	36285.89877
121	36020.81578
122	35921.05623
123	35595.52015
124	35514.58613
125	35202.6609
126	34883.90296
127	34783.04606
128	34530.61191
129	34456.44392
130	34127.9637
131	33828.11308
